"seq","check_name","passed","details"
"1","public_booking_settings_table","True","Direct booking settings table exists."
"2","corporate_accounts_table","True","Corporate accounts table exists."
"3","corporate_rates_table","True","Corporate negotiated rates table exists."
"4","reservation_corporate_links_table","True","Reservation-to-corporate evidence exists."
"5","public_booking_requests_table","True","Idempotency evidence exists."
"6","stay_move_plans_table","True","Split-stay planning table exists."
"7","folio_split_shares_table","True","Split-bill payer shares table exists."
"8","accounting_export_profiles_table","True","Accounting connector profiles exist."
"9","public_booking_hotel_rpc","True","Public safe hotel lookup RPC exists."
"10","public_booking_options_rpc","True","Public availability/quote RPC exists."
"11","public_booking_create_rpc","True","Public idempotent booking RPC exists."
"12","revenue_workspace_rpc","True","Internal Revenue Growth workspace RPC exists."
"13","booking_settings_write_rpc","True","Booking settings write RPC exists."
"14","corporate_account_write_rpc","True","Corporate account RPC exists."
"15","corporate_rate_write_rpc","True","Corporate rate RPC exists."
"16","stay_move_plan_create_rpc","True","Split-stay plan RPC exists."
"17","stay_move_plan_verify_rpc","True","Split-stay verification RPC exists."
"18","split_bill_plan_rpc","True","Payer split-plan RPC exists."
"19","split_bill_collection_rpc","True","Payer-specific collection RPC exists."
"20","accounting_profile_rpc","True","Accounting profile RPC exists."
"21","accounting_export_rpc","True","Template accounting export RPC exists."
"22","all_existing_hotels_have_booking_settings","True","6 hotel(s) checked."
"23","public_booking_disabled_by_default","True","No migration-seeded hotel was accidentally made public-bookable."
"24","accounting_profiles_seeded","True","Every existing hotel has the four baseline connector profiles."
"25","one_default_accounting_profile","True","Exactly one active default profile exists per hotel."
"26","new_tables_rls_enabled","True","RLS is enabled on every v1.1-A table."
"27","anon_no_direct_table_select","True","Anonymous users have no direct table grants."
"28","anon_public_rpc_grants","True","Anon can execute only the intended safe public booking RPCs."
"29","internal_rpc_not_anon","True","Internal Revenue Growth functions are not executable by anon."
"30","corporate_booking_codes_unique","True","Corporate booking codes are unique per hotel."
"31","split_share_invariant","True","Split-bill payer share financial invariant holds."
"32","original_authoritative_finance_and_room_move_preserved","True","Existing Day 10/11/12 authoritative RPCs remain installed."
"33","future_hotel_revenue_seed_trigger_present","True","Future hotels automatically receive disabled booking settings and accounting profiles."
"34","public_booking_rpcs_security_definer","True","Public booking RPCs run through the narrow SECURITY DEFINER surface rather than table grants."
